Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
Perdana Exclusive,Damansara Perdana,Selangor,Leasehold,Condominium,340000,380,17
Symphony Heights (Simfoni Heights),Batu Caves,Selangor,Leasehold,Condominium,380000,380,16
IRAMA SENDAYAN 2A,Labu,Negeri Sembilan,Freehold,Terrace House,559444,379,48
The Heritage Residence,Seri Kembangan,Selangor,Leasehold,Service Residence,297500,379,22
SS5 PETALING JAYA,Petaling Jaya,Selangor,Freehold,Terrace House,700000,378,24
Rhythm Avenue,Subang Jaya,Selangor,Freehold,Service Residence,290000,378,20
Subang Perdana Goodyear Court 3,Subang Jaya,Selangor,Freehold,Apartment,354000,378,14
INDAHPURA,Kulai,Johor,Freehold,Terrace House,680000,377,145
BAYAN BARU,Bayan Baru,Penang,Leasehold,"Cluster House, Terrace House, Semi D",570000,376,37
Savanna Executive Suite @ Southville City,Bangi,Selangor,Freehold,Service Residence,360000,376,25
SEKSYEN 27 SHAH ALAM,Shah Alam,Selangor,Freehold,"Terrace House, Semi D",700000,376,23
Sutramas,Puchong,Selangor,Freehold,Apartment,320000,376,15
TAMAN KOPERASI CUEPACS,Cheras,Selangor,Freehold,Terrace House,390000,376,12
Pusat Komersial Seksyen 7,Shah Alam,Selangor,Leasehold,Flat,300000,376,11
TAMAN SRI PENAWAR,Pengerang,Johor,Leasehold,Terrace House,525000,375,40
I-Park Apartment,Sungai Ara,Penang,Freehold,Flat,250000,375,23
Delta Heights,Penampang,Sabah,Leasehold,Apartment,350000,375,15
TAMAN BUKIT JURU,Juru,Penang,Freehold,Terrace House,625000,375,11
Halaman Kenanga,Sungai Dua,Penang,Leasehold,Apartment,250000,375,11
TAMAN SAUJANA PUCHONG,Puchong,Selangor,"Leasehold, Freehold",Terrace House,531000,374,28
TAMAN PERDANA,Simpang Ampat,Penang,Freehold,Terrace House,575000,374,25
Krystal Heights,Jelutong,Penang,Freehold,Flat,177500,374,14
TAMAN PERDANA (CASA PERDANA),Simpang Ampat,Penang,Freehold,"Terrace House, Semi D",575000,374,11
"Teratai Mewah Apartment Block 15,17,19,21",Setapak,Kuala Lumpur,Freehold,Apartment,250000,373,27
QUEENSBURY @ MAHKOTA HILLS,Lenggeng,Negeri Sembilan,Freehold,Terrace House,529500,373,20
TAMAN PERTAMA INDAH ~ JALAN BAKRI,Bakri,Johor,Freehold,Terrace House,820000,373,18
Subang Perdana Goodyear Court 9,Subang Jaya,Selangor,Freehold,Apartment,380000,373,13
Jentayu Residensi @ Tampoi,Johor Bahru,Johor,Freehold,Service Residence,370000,373,13
TAMAN NUSANTARA,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,420000,372,53
TAMAN BISTARI MENGLEMBU,Menglembu,Perak,Leasehold,Terrace House,408000,372,26
Beverly Hills 2,Kota Kinabalu,Sabah,Leasehold,Apartment,300000,372,23
Bayu Puteri 3,Johor Bahru,Johor,Leasehold,Apartment,350000,372,21
TAMAN DESA PALMA,Tebrau,Johor,Freehold,Terrace House,577150,372,19
Pangsapuri Permai Puteri,Ampang,Selangor,Leasehold,Apartment,320000,372,13
USJ One Avenue Condo,Subang Jaya,Selangor,Leasehold,Condominium,500000,372,11
Maxim Citylights @ Sentul Kl,Sentul,Kuala Lumpur,Leasehold,Service Residence,365000,371,21
KLEBANG PERDANA,Ipoh,Perak,Freehold,Terrace House,554888,371,14
Taman Seri Sari (Sunshine Garden),Bukit Jambul,Penang,Freehold,Apartment,260000,371,13
Pertiwi Indah,Cheras,Kuala Lumpur,Leasehold,Condominium,450000,371,11
Juta Mines,Seri Kembangan,Selangor,Leasehold,Condominium,450000,370,23
TAMAN SUBANG MEWAH,Subang Jaya,Selangor,Leasehold,Terrace House,665000,370,18
TAMAN SRI CENDEKIA (TAMAN CONNAUGHT),Cheras,Kuala Lumpur,Leasehold,Terrace House,705000,370,12
Abadi Villa,Taman Desa,Kuala Lumpur,Leasehold,Condominium,450000,370,11
Prominence,Bukit Mertajam,Penang,Freehold,Condominium,470000,370,11
BANDAR BARU LAPANGAN,Ipoh,Perak,Leasehold,Terrace House,588800,369,91
TAMAN NADA EMBUN,Rantau,Negeri Sembilan,Freehold,Terrace House,522000,368,77
TAMAN NUSA IDAMAN,Iskandar Puteri (Nusajaya),Johor,Freehold,Semi D,780000,368,35
Subang Perdana Goodyear Court 10,Subang Jaya,Selangor,Freehold,Apartment,374000,368,24
The Pearl (Pearl Point),Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Condominium,400000,368,17
TAMAN BAYU PERDANA,Klang,Selangor,Freehold,Terrace House,560000,368,15
Impian Senibong Apartment,Permas Jaya,Johor,Leasehold,Apartment,375000,367,18
TAMAN DESA TEKKAH SENTOSA,Taiping,Perak,Leasehold,Terrace House,468800,367,12
Ketumbar Hill,Cheras,Kuala Lumpur,Freehold,Condominium,350000,367,11
MEKARSARI UNGGUL (FASA III),Kepala Batas,Penang,Freehold,Terrace House,613000,366,71
TAMAN BUKIT TIRAM,Ulu Tiram,Johor,Freehold,Terrace House,380000,366,44
1Medini,Iskandar Puteri (Nusajaya),Johor,Freehold,Condominium,370000,366,14
Arena Green,Bukit Jalil,Kuala Lumpur,Freehold,Apartment,270000,366,13
DIAMOND RESIDENCE,Semenyih,Selangor,Freehold,"Semi D, Terrace House",675000,366,11
Tebrau City Residences,Tebrau,Johor,Freehold,Service Residence,380000,365,37
TAMAN IMPIAN PUTRA,Bangi,Selangor,Leasehold,Terrace House,440000,365,10
TAMAN KLEBANG PERDANA,Ipoh,Perak,Freehold,Terrace House,513967,364,26
Platinum Lake PV 16,Setapak,Kuala Lumpur,Leasehold,Condominium,520000,364,16
Vista Mutiara,Kepong,Kuala Lumpur,Leasehold,Apartment,379000,364,16
BANDAR ALAM MASAI,Masai,Johor,Freehold,Terrace House,688000,364,13
TAMAN NUSA BESTARI 2,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,540000,363,53
TAMAN BUNGA RAYA,Setapak,Kuala Lumpur,Freehold,Terrace House,520000,363,15
TABUAN TRANQUILITY,Kuching,Sarawak,"Leasehold, Freehold",Terrace House,730000,362,11
TAYNTON VIEW,Cheras,Kuala Lumpur,Freehold,Terrace House,625000,362,11
Prisma Cheras,Cheras,Kuala Lumpur,Freehold,Condominium,426000,362,11
BANDAR SERI ALAM,Pasir Gudang,Johor,Freehold,Terrace House,340000,361,38
SIERRA PERDANA,Masai,Johor,Freehold,"Terrace House, Cluster House",495000,361,33
TAMAN CHERAS PERDANA,Cheras,Selangor,Freehold,Terrace House,445000,361,31
KOTA SERIBONG,Padang Enggang,Kelantan,Leasehold,Terrace House,470000,361,15
TAMAN KANTAN PERMAI,Kajang,Selangor,Leasehold,Terrace House,370000,361,15
M RESIDENCE,Rawang,Selangor,Freehold,Terrace House,623400,360,16
Parkview Towers,Bukit Jambul,Penang,Leasehold,Apartment,370000,360,12
SEKSYEN 5 BANDAR BARU BANGI,Bangi,Selangor,Leasehold,Terrace House,360000,360,11
Lake View Suites,Tebrau,Johor,Freehold,Apartment,293000,359,34
TAMAN SERI KERAMAT,Ulu Klang,Selangor,Leasehold,Terrace House,640000,359,10
Molek Pine 1,Johor Bahru,Johor,Freehold,Apartment,520000,358,11
LAMAN INDAH 1,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,385000,358,10
TAMAN SENTOSA,Klang,Selangor,Freehold,Terrace House,450000,357,141
TAMAN SAFFRON,Serendah,Selangor,Freehold,Terrace House,437100,357,75
TAMAN DESA CEMERLANG,Ulu Tiram,Johor,Freehold,Terrace House,495000,357,70
LAKE GARDEN RESIDENCE(TAMAN KLEBANG TEKOMA,Ipoh,Perak,Leasehold,"Terrace House, Semi D",499800,357,54
Sri Akasia,Tampoi,Johor,Leasehold,Apartment,380000,357,32
TAMAN JASMIN,Kajang,Selangor,Freehold,Terrace House,442000,357,24
SEKSYEN 3 BANDAR BARU BANGI,Bangi,Selangor,Leasehold,Terrace House,590000,357,19
TAMAN KASTURI,Sitiawan,Perak,Freehold,Terrace House,623800,357,17
Putra Damai,Putrajaya,Putrajaya,Freehold,Flat,250000,357,12
SEMENYIH PARKLANDS,Beranang,Selangor,Freehold,Terrace House,465000,357,11
TAMAN PULAI FLORA,Skudai,Johor,Freehold,"Cluster House, Terrace House",600000,357,11
TAMAN ANGGERIK,Tampoi,Johor,Freehold,Terrace House,335000,357,11
TAMAN KERIAN INDAH,Parit Buntar,Perak,Freehold,Terrace House,498800,357,11
Sentrovue,Shah Alam,Selangor,Leasehold,Service Residence,300000,356,16
Delima Intan Apartment,Bukit Minyak,Penang,Freehold,Apartment,280000,356,16
TAMAN HIJRAH,Kapar,Selangor,Freehold,Terrace House,450000,355,20
Vista Pinggiran Apartment,Seri Kembangan,Selangor,Leasehold,Apartment,310000,355,15
SETIA ECOHILL,Semenyih,Selangor,Freehold,Terrace House,670000,354,58
"TAMAN KELANA, RANTAU PANJANG",Kapar,Selangor,Freehold,Terrace House,473000,354,40
TAMAN PRIMA SAUJANA,Kajang,Selangor,Freehold,"Terrace House, Bungalow",525000,354,14
TAMAN SEMENYIH MEWAH,Semenyih,Selangor,Freehold,Terrace House,615000,354,13
TAMAN MUTIARA GADING (TR 277),Batu Pahat,Johor,Freehold,Terrace House,495805,354,12
TAMAN BUKIT DAHLIA,Pasir Gudang,Johor,"Freehold, Leasehold",Terrace House,480000,353,43
Angkasa Apartment,Kota Kinabalu,Sabah,Leasehold,Apartment,300000,353,17
Aman Puri Apartment,Kepong,Selangor,Freehold,Apartment,320000,353,11
Sri Lempah,Taman Desa,Kuala Lumpur,Leasehold,Flat,197000,353,11
Axis Residence @ Axis Pandan,Ampang,Selangor,Leasehold,Service Residence,330000,352,21
Apartment Sri Rakyat,Bukit Jalil,Kuala Lumpur,Freehold,Apartment,235000,352,20
TAMAN SUNGAI BESI INDAH,Seri Kembangan,Selangor,"Leasehold, Freehold","Terrace House, Bungalow",480000,352,18
Beverly Hills 1,Kota Kinabalu,Sabah,Leasehold,Apartment,265000,352,13
TAMAN BERTEK,Klang,Selangor,Freehold,Terrace House,866000,352,12
Mutiara Condominium,Bukit Mertajam,Penang,Freehold,Condominium,260000,351,28
TIARA SENDAYAN - PRESINT 14C,Labu,Negeri Sembilan,Freehold,Terrace House,512650,350,40
Sri Kenari Apartment,Johor Bahru,Johor,Leasehold,"Flat, Apartment",320000,350,14
TAMAN POLO LAGUNA @ TAMBUN,Ipoh,Perak,Leasehold,Terrace House,487800,349,64
TAMAN PENAGA MEWAH,Ampangan,Negeri Sembilan,Freehold,Terrace House,487910,349,26
PINGGIRAN BAYU (MANTAU),Rasah,Negeri Sembilan,Freehold,Terrace House,488000,349,23
TAMAN DESA JAYA,Kepong,Selangor,Leasehold,Terrace House,500000,349,21
SALAK SOUTH GARDEN (TAMAN SALAK SELATAN),Salak Selatan,Kuala Lumpur,Freehold,Terrace House,550000,349,15
Kelana Puteri,Kelana Jaya,Selangor,Leasehold,Condominium,380000,349,15
"TAMAN MESRA, OFF JALAN SUNGAI JATI",Klang,Selangor,Freehold,"Semi D, Terrace House",506100,349,10
Seri Mutiara,Setia Alam,Selangor,Freehold,Apartment,330000,348,19
SEKSYEN 8 SHAH ALAM,Shah Alam,Selangor,Leasehold,Terrace House,700000,348,14
Pangsapuri Pelangi,Georgetown,Penang,Leasehold,Flat,245000,348,12
TAMAN MENGKUANG JAYA,Bukit Mertajam,Penang,Freehold,"Semi D, Terrace House",512500,348,10
Vista Seri Putra,Bangi,Selangor,Freehold,Apartment,316000,347,14
BANDAR NUSAPUTRA,Puchong,Selangor,"Freehold, Leasehold",Terrace House,635000,347,12
SEKSYEN 21-28 BANDAR KLANG,Klang,Selangor,Freehold,"Terrace House, Semi D",625000,347,12
Menara Orkid,Sentul,Kuala Lumpur,Leasehold,Apartment,295000,347,12
PULAI JAYA,Kulai,Johor,Freehold,Terrace House,520000,346,43
TAMAN SUNGAI KAPAR INDAH,Kapar,Selangor,Freehold,Terrace House,450000,346,27
COUNTRY HEIGHTS,Kajang,Selangor,"Leasehold, Freehold","Town House, Bungalow",499500,346,16
Putatan Platinum Apartment,Penampang,Sabah,Freehold,Apartment,294000,346,16
M RESIDENCE 2,Rawang,Selangor,Leasehold,Terrace House,585000,346,15
TAMAN SRI SENTOSA,Klang,Selangor,Freehold,"Town House, Terrace House",420000,346,13
Bayu Villa,Klang,Selangor,Freehold,Apartment,300000,346,11
BANDAR CEMERLANG,Tebrau,Johor,Freehold,"Cluster House, Semi D",828000,345,69
Permas Ville Apartment,Permas Jaya,Johor,Freehold,Apartment,400000,345,17
Subang Perdana Goodyear Court 6,Subang Jaya,Selangor,Freehold,Apartment,282500,345,12
RESIDENSI VILLA MUTIARA,Sungai Bakap,Penang,Freehold,"Terrace House, Semi D",560000,345,11
MJC Courtyard Sanctuary,Kuching,Sarawak,Leasehold,Apartment,295000,345,11
BANDAR SERI BOTANI,Ipoh,Perak,"Freehold, Leasehold","Terrace House, Semi D",496800,344,67
BANDAR PUTERA 2,Klang,Selangor,Leasehold,Terrace House,411640,344,50
TAMAN SRI PUTRI,Skudai,Johor,Freehold,Terrace House,540000,344,26
Idaman Senibong,Permas Jaya,Johor,Leasehold,Apartment,290000,344,17
Ketumbar Heights,Cheras,Kuala Lumpur,Freehold,Condominium,298000,344,13
TAMAN PUTERA/SURIA,Johor Bahru,Johor,Freehold,Terrace House,625000,343,26
Bayu Puteri 2,Johor Bahru,Johor,Leasehold,Apartment,310000,343,21
TAMAN MUHIBAH,Kulai,Johor,Freehold,Terrace House,290000,342,37
TAMAN PUTRA PERMAI,Seri Kembangan,Selangor,Leasehold,Terrace House,722500,342,26
TAMAN PUCHONG PERDANA,Puchong,Selangor,Leasehold,Terrace House,375000,342,22
Gat Lebuh Macallum,Georgetown,Penang,Leasehold,Flat,175000,342,17
Pangsapuri Subang Suria,Sungai Buloh,Selangor,Leasehold,Apartment,270000,342,16
Kelana D'Putera,Kelana Jaya,Selangor,Leasehold,Condominium,400000,342,14
Fair View Apartment,Permas Jaya,Johor,Freehold,Apartment,360000,342,13
TAMAN SETAPAK (SETAPAK GARDEN),Setapak,Kuala Lumpur,Freehold,Terrace House,600000,341,21
BANDAR HILLPARK,Bandar Puncak Alam,Selangor,Leasehold,Terrace House,560000,341,20
TAMAN PLENTONG BARU,Masai,Johor,Freehold,Terrace House,295000,341,12
TAMAN SINAR PELANGI,Batu Pahat,Johor,Freehold,Terrace House,594150,341,10
TAMAN PULAI UTAMA,Skudai,Johor,Freehold,Terrace House,595000,340,39
EAST LEDANG,Iskandar Puteri (Nusajaya),Johor,Freehold,"Semi D, Terrace House",1344000,340,32
Danga View Apartment,Tampoi,Johor,Freehold,Apartment,420000,340,22
Desa Impiana,Puchong,Selangor,Freehold,Condominium,400000,340,20
TAMAN SELASEH,Batu Caves,Selangor,Leasehold,Terrace House,550000,340,16
AUSTRA HEIGHT,Bintulu,Sarawak,Leasehold,Terrace House,380000,340,15
TAMAN BUKIT SERDANG SEKSYEN 2,Seri Kembangan,Selangor,Freehold,Town House,455000,340,13
BANDAR SAUJANA PUTRA,Tanjong Duabelas,Selangor,Leasehold,Terrace House,450000,339,78
SEKSYEN 5,Petaling Jaya,Selangor,"Leasehold, Freehold","Bungalow, Terrace House",1700000,339,21
TAMAN DESA JAYA,Johor Bahru,Johor,Freehold,Terrace House,440000,338,73
TAMAN LESTARI PUCHONG,Seri Kembangan,Selangor,Leasehold,Terrace House,508000,338,49
TAMAN BUKIT KATIL DAMAI,Bukit Katil,Melaka,Leasehold,"Semi D, Terrace House",488000,338,38
TAMAN PELANGI SEMENYIH 2,Beranang,Selangor,Freehold,Terrace House,505000,338,16
TAMAN PERWIRA INDAH,Simpang Ampat,Penang,Freehold,Terrace House,440000,338,11
TAMAN TEHEL INDAH,Bemban,Melaka,Freehold,Terrace House,497000,337,41
BANDAR BUKIT MAHKOTA,Bangi,Selangor,Freehold,"Cluster House, Terrace House, Semi D",447500,337,24
TAMAN NUSANTARA PRIMA,Gelang Patah,Johor,Freehold,"Cluster House, Terrace House",675000,337,24
TAMAN SRI TEBRAU,Johor Bahru,Johor,Freehold,Terrace House,680000,336,37
Villa Krystal Apartment,Skudai,Johor,Freehold,Apartment,300000,336,34
Costa Mahkota,Melaka City,Melaka,Leasehold,Apartment,204500,336,20
Taman Penampang Apartment,Penampang,Sabah,Leasehold,Apartment,340000,336,19
TAMAN JASA RIA (JESSELTON HILLS),Bukit Mertajam,Penang,Freehold,Semi D,1043800,336,18
TAMAN MEDAN PASIR SAUJANA,Ipoh,Perak,Freehold,Terrace House,559000,336,14
Vista Indah Putra,Klang,Selangor,Freehold,Apartment,330000,336,12
Green Garden,Ayer Itam,Penang,Freehold,Flat,180000,335,45
Bistari Impian Apartment,Johor Bahru,Johor,Leasehold,Apartment,360000,335,21
BANDAR SRI PUTRA,Bangi,Selangor,Freehold,"Terrace House, Semi D",615000,335,20
TAMAN INDAH PERMAI,Kota Kinabalu,Sabah,Leasehold,Terrace House,520000,335,16
TAMAN BUKIT KEMAYAN (KEMAYAN HEIGHTS),Rasah,Negeri Sembilan,Freehold,Semi D,1103000,335,10
TAMAN KOTA SRI AHMAD SHAH,Kuantan,Pahang,Leasehold,Terrace House,582222,334,84
TAMAN TTDI GROVE,Bangi,Selangor,Freehold,Semi D,1068000,334,25
TAMAN PUCHONG INDAH,Puchong,Selangor,Leasehold,Terrace House,400000,334,17
GLENMARIE COVE,Klang,Selangor,Freehold,Semi D,1120000,334,11
Skudai Villa,Skudai,Johor,Freehold,Condominium,370000,334,11
TAMAN KEMPAS INDAH,Tebrau,Johor,Freehold,"Cluster House, Terrace House",644000,333,30
SEKSYEN 14,Petaling Jaya,Selangor,Leasehold,Terrace House,715000,333,25
Suria @ Hijau E-Komuniti,Batu Kawan,Penang,Leasehold,Apartment,330000,333,11
AMBER 1@BUKIT SENTOSA,Serendah,Selangor,Freehold,Terrace House,430000,332,49
Prima Regency,Johor Bahru,Johor,Freehold,Apartment,351500,332,22
Tasik Heights Apartment,Bandar Tasik Selatan,Kuala Lumpur,Leasehold,Apartment,290000,332,16
TAMAN DAYA,Tebrau,Johor,Freehold,"Cluster House, Terrace House",504000,331,172
TAMAN IRINGAN BAYU,Rantau,Negeri Sembilan,Freehold,"Terrace House, Semi D",472910,331,31
Pan Vista,Permas Jaya,Johor,Freehold,Apartment,339000,331,13
Vista Magna,Kepong,Kuala Lumpur,Leasehold,Apartment,285000,331,13
TAMAN MERPATI INDAH,Kulim,Kedah,Freehold,Terrace House,462000,330,38
SAUJANA IMPIAN,Kajang,Selangor,Freehold,"Terrace House, Bungalow",540000,330,38
Flat PKNS Section 7,Shah Alam,Selangor,Leasehold,Flat,230000,330,13
TAMAN JERNIH,Bukit Mertajam,Penang,Freehold,Cluster House,414500,330,10
TAMAN PULAI HIJAUAN,Skudai,Johor,Freehold,"Terrace House, Cluster House",655000,329,38
TAMAN SURIA (SUN LAND RESIDENCE),Ipoh,Perak,Leasehold,Terrace House,548000,329,15
TAMAN TEMIANG JAYA II,Muar,Johor,Freehold,Terrace House,865000,329,14
Karisma @ Eco Majestic,Semenyih,Selangor,Freehold,Apartment,262500,329,12
SANCTUARY GARDEN,Bukit Mertajam,Penang,Freehold,Semi D,860000,329,11
TAMAN IMPIAN EMAS,Tebrau,Johor,Freehold,"Terrace House, Semi D",738000,328,349
TAMAN LAGENDA PUTRA,Kulai,Johor,Freehold,"Terrace House, Semi D",589000,328,32
TAMAN BUKIT MEWAH,Kajang,Selangor,Freehold,Terrace House,470000,328,28
TAMAN LANG RESIDENCES,Ipoh,Perak,Freehold,Terrace House,459800,328,22
Desa Permai Indah Flat,Sungai Dua,Penang,Leasehold,Flat,180000,328,22
Epic Residence,Johor Bahru,Johor,"Freehold, Leasehold",Apartment,410000,328,17
TAMAN SRI BUNUT,Tanjong Duabelas,Selangor,Freehold,Terrace House,669000,328,16
TAMAN CENTURY,Johor Bahru,Johor,Freehold,"Terrace House, Semi D",609000,327,78
Abadi Indah,Taman Desa,Kuala Lumpur,Leasehold,Apartment,300000,327,14
Villa Bestari Apartment,Iskandar Puteri (Nusajaya),Johor,Freehold,Apartment,380000,327,11
TAMAN JOHOR JAYA,Johor Bahru,Johor,Freehold,Terrace House,450000,326,195
Flat Taman Melati,Setapak,Kuala Lumpur,Freehold,Flat,207500,326,28
Taman Suria,Penampang,Sabah,Leasehold,Flat,250000,326,16
Mutiara Magna,Kepong,Kuala Lumpur,Leasehold,Flat,220000,326,12
TAMAN SKUDAI BARU,Skudai,Johor,Freehold,Terrace House,435000,325,114
TAMAN PELANGI,Johor Bahru,Johor,Freehold,"Semi D, Terrace House",750000,325,69
LAMAN HARIS @ ECO GRANDEUR,Ijok,Selangor,Leasehold,Terrace House,455000,325,36
Pelangi Heights,Klang,Selangor,Freehold,Apartment,375000,325,19
The Pines Residence,Gelang Patah,Johor,Leasehold,Apartment,330000,325,18
Pangsapuri Permai,Sungai Besi,Kuala Lumpur,Leasehold,Apartment,210000,325,17
TAMAN NUSA JAYA MAS,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,520000,325,15
TAMAN PULAI EMAS,Kulai,Johor,Leasehold,Terrace House,385000,325,13
TAMAN KIEN LEONG/KIM CHUAN,Klang,Selangor,Freehold,Terrace House,500000,325,11
UDA UTAMA,Skudai,Johor,Freehold,"Terrace House, Bungalow",600000,324,25
DESA COALFIELDS,Ijok,Selangor,Freehold,Terrace House,467500,324,22
Lakeview Apartments,Selayang,Selangor,Leasehold,Apartment,282500,324,14
TAMAN NAKHODA,Telok Panglima Garang,Selangor,Freehold,Terrace House,455000,324,12
Sri Alam Condominium,Shah Alam,Selangor,Leasehold,Condominium,450000,324,11
TAMAN KOTA MASAI,Pasir Gudang,Johor,Freehold,Terrace House,345000,323,319
BANDAR SELESA JAYA,Skudai,Johor,Freehold,Terrace House,462500,323,30
Residensi Adelia,Bangi,Selangor,Freehold,Condominium,350000,323,25
TAMAN GEMBIRA,Klang,Selangor,Freehold,Terrace House,532500,323,18
Amadesa Resort Condominium,Desa Petaling,Kuala Lumpur,Leasehold,Condominium,350000,323,18
LEX LIVING,Ipoh,Perak,Freehold,Terrace House,568880,323,12
BANDAR PUTRA,Kulai,Johor,Freehold,"Cluster House, Terrace House",590900,322,519
TAMAN UNGKU TUN AMINAH,Skudai,Johor,Freehold,Terrace House,530000,322,122
TAMAN MOLEK,Johor Bahru,Johor,Freehold,Terrace House,600000,322,60
TAMAN RAWANG PERDANA,Rawang,Selangor,Freehold,Terrace House,460000,322,27
Bukit Pandan Kondominium 1,Cheras,Kuala Lumpur,Freehold,Condominium,380000,322,14
TAMAN IMPIAN EHSAN,Balakong,Selangor,Leasehold,Terrace House,330000,322,11
TAMAN AIRPORT,Sandakan,Sabah,Leasehold,Terrace House,400000,322,11
Grandeur Tower,Ampang,Selangor,Leasehold,Apartment,305000,322,11
TAMAN DESA INTAN,Kapar,Selangor,"Freehold, Leasehold",Terrace House,423250,322,10
TAMAN PULAI INDAH,Skudai,Johor,Freehold,"Terrace House, Cluster House",460000,321,92
TAMAN SRI MUDA,Shah Alam,Selangor,Freehold,Terrace House,330000,321,61
TAMAN SENTOSA,Johor Bahru,Johor,Freehold,"Semi D, Terrace House",700000,321,53
TAMAN AMAN PERDANA,Kapar,Selangor,Freehold,Semi D,850000,321,23
TAMAN SEMARANG INTAN,Dengkil,Selangor,"Leasehold, Freehold",Terrace House,669600,321,20
Angsana,Subang Jaya,Selangor,Leasehold,Flat,211000,321,18
Prima Bayu Apartment,Klang,Selangor,Freehold,Apartment,370000,321,16
RAINTREE PARK2,Sungai Bakap,Penang,Freehold,"Semi D, Town House, Terrace House",526500,321,12
SEKSYEN 19 SHAH ALAM,Shah Alam,Selangor,Leasehold,Terrace House,450000,321,11
Glory Beach Resort,Port Dickson,Negeri Sembilan,Freehold,Condominium,300000,321,11
TAMAN MEGAH RIA,Masai,Johor,Freehold,"Terrace House, Semi D",436440,320,76
TAMAN DAIMAN JAYA,Kota Tinggi,Johor,Freehold,Cluster House,776900,320,20
TAMAN MEWAH JAYA,Klang,Selangor,Freehold,Terrace House,450000,320,17
Endah Ria,Sri Petaling,Kuala Lumpur,Leasehold,Condominium,307500,320,16
NUSAVILLA,Iskandar Puteri (Nusajaya),Johor,Freehold,Town House,500000,320,12
BANDAR SERI BOTANI,Batu Gajah,Perak,Freehold,Terrace House,825510,320,11
Endah Villa,Sri Petaling,Kuala Lumpur,Leasehold,Condominium,360000,319,17
Kinrara Mas,Bukit Jalil,Kuala Lumpur,Freehold,Condominium,380000,319,15
Bukit Saujana,Ayer Itam,Penang,Freehold,Flat,220000,319,12
TAMAN INDERAWASIH,Perai,Penang,Freehold,Terrace House,514000,318,24
TAMAN KULIM TECHNOCITY FASA 3,Kulim,Kedah,Freehold,Terrace House,395000,318,11
TAMAN NILAM SARI,Seremban,Negeri Sembilan,Leasehold,Terrace House,411800,317,50
TAMAN KRUBONG PERDANA,Krubong,Melaka,Freehold,"Bungalow, Terrace House",443800,317,19
TAMAN SIMPANG BERSATU,Taiping,Perak,Freehold,Terrace House,528800,317,18
Taman Pauh Indah,Perai,Penang,Freehold,Flat,185000,316,25
"SEKSYEN 32, SHAH ALAM",Shah Alam,Selangor,Freehold,"Semi D, Terrace House",487500,316,16
Magna Ville,Selayang,Selangor,Leasehold,Condominium,350000,316,14
TAMAN SAUJANA RAWANG,Rawang,Selangor,Leasehold,Terrace House,521000,315,22
BANDAR BARU SUNGAI BULOH,Sungai Buloh,Selangor,Leasehold,Terrace House,440000,315,19
TAMAN DESA LANG INDAH,Ipoh,Perak,"Freehold, Leasehold",Terrace House,528800,315,17
Pauh Damai,Bukit Mertajam,Penang,Freehold,Flat,200000,315,11
TAMAN DESA IMPIAN,Simpang Ampat,Penang,Freehold,Cluster House,880000,314,40
Amazing Heights,Klang,Selangor,Freehold,Apartment,280000,314,13
Prai Inai,Perai,Penang,Freehold,Apartment,280000,314,11
Gemilang Indah,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Condominium,265000,314,11
BANDAR COUNTRY HOMES,Rawang,Selangor,Freehold,"Terrace House, Semi D",420000,313,79
Taman Pandan Jaya,Cheras,Selangor,Leasehold,Flat,185000,313,39
TAMAN MAWAR,Pasir Gudang,Johor,Leasehold,Terrace House,390000,313,26
Pangsapuri Wira,Cheras,Selangor,Freehold,Apartment,256000,313,17
BANDAR DATARAN SEGAR,Lukut,Negeri Sembilan,Freehold,Terrace House,459000,313,15
Desa Dua,Kepong,Selangor,Freehold,Apartment,262500,313,14
TAMAN MOLEK RESIDEN,Ayer Molek,Melaka,Freehold,Terrace House,435800,312,37
TAMAN TEMIANG JAYA,Muar,Johor,Freehold,Terrace House,610000,312,13
TAMAN PANDAMARAN PERMAI/KOTA PENDAMAR,Klang,Selangor,Freehold,Terrace House,420000,312,12
TAMAN DESA IMPIAN 2 (FASA 2),Bukit Mertajam,Penang,Freehold,Semi D,900000,311,54
TAMAN KEMPAS,Tampoi,Johor,Freehold,Terrace House,390000,311,18
Taman Bukit Jambul,Bukit Jambul,Penang,Freehold,Flat,263000,311,18
Aman Heights Condominium,Seri Kembangan,Selangor,Freehold,Condominium,393500,311,14
TAMAN WANGSA INDAH,Batu Pahat,Johor,Freehold,"Semi D, Terrace House",646076,311,10
TAMAN BERTAM PUTRA,Tanjong Minyak,Melaka,Freehold,Terrace House,488000,311,10
TAMAN AROWANA [LENGGENG],Lenggeng,Negeri Sembilan,Leasehold,Terrace House,476240,310,152
TAMAN BUKIT JAYA,Ulu Tiram,Johor,Freehold,Terrace House,460000,310,26
Pangsapuri Perdana Villa,Klang,Selangor,Freehold,Apartment,300000,310,23
