Township,Area,State,Tenure,Type,Median_Price,Median_PSF,Transactions
LUCKY GARDEN (JALAN BANGSAR),Bangsar,Kuala Lumpur,Freehold,"Semi D, Terrace House",1270000,624,13
Sandilands,Georgetown,Penang,Freehold,Condominium,838000,623,19
BANDAR KINRARA,Bandar Kinrara,Selangor,Freehold,Terrace House,1415000,621,48
The Rainz,Bukit Jalil,Kuala Lumpur,Freehold,Condominium,950000,621,11
BANDAR PUTERI PUCHONG,Puchong,Selangor,Freehold,Terrace House,1225000,620,48
BANDAR BESTARI@CANARY GARDEN,Klang,Selangor,Freehold,Cluster House,1449665,620,40
Sri Putramas,Jalan Kuching,Kuala Lumpur,Freehold,Condominium,650000,619,60
Maisson,Ara Damansara,Selangor,Freehold,Service Residence,535000,619,17
Anjali North Kiara,Segambut,Kuala Lumpur,Freehold,Condominium,1050000,619,11
GLENMARIE INDUSTRIAL PARK,Glenmarie,Selangor,Freehold,"Semi D, Terrace House",1875000,617,22
JALAN JENDERAM-SALAK,Dengkil,Selangor,Freehold,Cluster House,1438800,616,21
Nova Saujana,Saujana,Selangor,Freehold,Service Residence,530000,614,13
OUG Parklane,Jalan Klang Lama (Old Klang Road),Kuala Lumpur,Freehold,Service Residence,580000,611,102
Paragon Residences @ Straits View,Johor Bahru,Johor,Freehold,Service Residence,942450,611,20
TAMAN SERING UKAY,Ulu Klang,Selangor,Freehold,Terrace House,1260000,611,10
BK 8 - PERUMAHAN KINRARA,Bandar Kinrara,Selangor,Freehold,"Semi D, Terrace House",2400000,610,25
SS26 TAMAN MAYANG JAYA,Petaling Jaya,Selangor,Freehold,Terrace House,825000,610,12
SETIA INDAH 9,Setia Alam,Selangor,Freehold,Terrace House,1050000,608,19
Pandora @ Tropicana Metropark,Subang Jaya,Selangor,Freehold,Service Residence,510000,608,13
Iconic Skies,Sungai Ara,Penang,Freehold,Condominium,830700,607,13
KAJANG 2,Semenyih,Selangor,Freehold,Terrace House,869000,603,18
D'Summit Residences,Skudai,Johor,Freehold,Service Residence,452900,602,165
The Park Residences 1,Kampung Kerinchi (Bangsar South),Kuala Lumpur,Leasehold,Condominium,1180000,601,24
Iskandar Residences,Iskandar Puteri (Nusajaya),Johor,Freehold,Condominium,873000,601,11
Villa Flora,Taman Tun Dr Ismail,Kuala Lumpur,Freehold,Condominium,830500,600,14
BANDAR MANJALARA,Bandar Menjalara,Kuala Lumpur,Leasehold,Terrace House,850000,599,18
Forest Green,Bandar Sungai Long,Selangor,Freehold,Condominium,600000,599,18
M City,Ampang,Kuala Lumpur,Freehold,Service Residence,530000,598,12
TAMAN LIP SIN,Sungai Dua,Penang,Freehold,Terrace House,865000,596,10
TAMAN SETIAWANGSA,Setiawangsa,Kuala Lumpur,Freehold,Terrace House,1140000,593,16
Hann's Residence,Sibu,Sarawak,Leasehold,Apartment,450000,593,11
Grace Residence,Jelutong,Penang,Freehold,Condominium,780000,592,13
D'ART HILLS RESIDENCE,Senai,Johor,Freehold,Terrace House,839000,591,89
TAMAN MUDA,Ampang,Selangor,Leasehold,Terrace House,500000,590,19
The Capers @ Sentul East,Sentul,Kuala Lumpur,Freehold,Condominium,760000,590,19
ISLAND PARK,Jelutong,Penang,Freehold,"Semi D, Terrace House",1800000,590,15
ECO SANCTUARY,Tanjong Duabelas,Selangor,Leasehold,"Terrace House, Bungalow, Semi D",2161500,590,12
TAMAN SEJATI LAKESIDE,Cyberjaya,Selangor,Freehold,Terrace House,1311150,587,18
Menara U,Shah Alam,Selangor,Leasehold,Service Residence,335000,586,17
TAMAN MASTIARA,Batu Caves,Kuala Lumpur,Leasehold,Terrace House,590000,586,11
SETIA IMPIAN 3,Setia Alam,Selangor,Freehold,"Terrace House, Semi D",930000,584,69
Seri Riana Residence,Wangsa Maju,Kuala Lumpur,Leasehold,Condominium,1000000,584,13
TAMAN SEJATI KEHIJAUAN,Klang,Selangor,Freehold,Terrace House,1138000,582,22
TAMAN SAMUDRA,Batu Caves,Selangor,Leasehold,Terrace House,550000,581,14
ECO BOTANIC,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,1260000,580,68
TROPICANA GOLF & COUNTRY RESORT,Tropicana,Selangor,Leasehold,"Town House, Bungalow, Terrace House",2550000,580,18
WANGSA MELAWATI,Wangsa Maju,Kuala Lumpur,Freehold,Terrace House,720000,578,21
Pelangi Damansara,Bandar Utama,Selangor,Leasehold,Apartment,450000,576,25
SELANGOR CYBER VALLEY-RESIDENCY AURORA,Dengkil,Selangor,Leasehold,Terrace House,1042000,573,36
BANDAR SIERRA PUCHONG,Puchong,Selangor,Leasehold,"Town House, Terrace House",1260000,571,21
VALENCIA,Sungai Buloh,Selangor,"Leasehold, Freehold","Bungalow, Terrace House",2400000,570,23
AVIRA GARDEN TERRACES @ MEDINI,Iskandar Puteri (Nusajaya),Johor,Freehold,Terrace House,999000,569,22
PUTRAJAYA PRESINT 14,Putrajaya,Putrajaya,Freehold,"Bungalow, Terrace House",1260000,569,18
USJ 5,Subang Jaya,Selangor,Freehold,"Semi D, Bungalow, Terrace House",1600000,569,17
1 Bukit Utama,Bandar Utama,Selangor,Freehold,Condominium,1269000,566,32
TAMAN SRI RAMPAI,Wangsa Maju,Kuala Lumpur,Freehold,Terrace House,505000,566,12
Sierra East,Relau,Penang,Freehold,Condominium,786500,566,12
BANDAR BARU SRI DAMANSARA,Bandar Sri Damansara,Selangor,Freehold,Terrace House,894000,564,70
LAMAN PERMATA,Tebrau,Johor,Freehold,Terrace House,788800,563,12
SETIA INDAH 12,Setia Alam,Selangor,Freehold,Terrace House,802000,561,15
Tiffani Kiara,Mont Kiara,Kuala Lumpur,Freehold,Condominium,1120000,561,11
TAMAN RAMAL KLASIK,Kajang,Selangor,Freehold,Terrace House,752400,561,10
Harmony View,Jelutong,Penang,Freehold,Apartment,378000,560,14
SHAH ALAM UTAMA,Shah Alam,Selangor,Leasehold,Terrace House,1073250,560,12
SENIBONG COVE,Permas Jaya,Johor,Freehold,"Semi D, Terrace House",1680000,557,31
TAMAN SRI GOMBAK,Batu Caves,Selangor,Freehold,Terrace House,450000,556,85
ECO HORIZON (FASA1),Batu Kawan,Penang,Freehold,Terrace House,1000000,556,17
The WaterEdge (Pinggiran Air),Permas Jaya,Johor,Freehold,Condominium,640000,555,17
USJ 13,Subang Jaya,Selangor,Freehold,Terrace House,697500,552,14
TAMAN SELAYANG JAYA,Selayang,Selangor,Freehold,Terrace House,680000,551,19
The Spring,Jelutong,Penang,Leasehold,Condominium,520000,551,19
Impian Meridian,Subang Jaya,Selangor,Freehold,Service Residence,595000,551,15
ELMINA WEST,Shah Alam,Selangor,Freehold,Terrace House,1060888,550,120
Casa Tiara Serviced Apartment,Subang Jaya,Selangor,Freehold,Service Residence,416500,550,22
TAMAN SEGAR PERDANA,Cheras,Selangor,Leasehold,Semi D,929000,550,13
BANDAR JAYA PUTRA,Tebrau,Johor,Freehold,"Terrace House, Cluster House",1201200,549,62
